city,latitude,temperature,humidity,cloudiness,windspeed
ribeira grande,38.5167,283.72,65,98,11.12
kaitangata,-46.2817,293.11,65,24,2.92
taolanaro,,,,,
jamestown,42.097,273.72,72,100,4.12
mecca,21.4267,293.36,73,0,0.36
atuona,-9.8,299.18,74,9,8.52
touros,-5.1989,299.65,77,12,3.14
kyshtovka,56.555,263.35,93,100,4.47
hermanus,-34.4187,291.43,81,6,6.52
lebu,-37.6167,287.01,79,0,7.29
genhe,50.7833,259.27,72,100,1.57
comodoro rivadavia,-45.8667,291.07,36,0,2.57
punta arenas,-53.15,284.21,82,75,3.09
cleethorpes,53.5605,278.7,92,100,7.62
balkanabat,39.5108,278.31,41,0,2.93
linden,6,296.23,97,12,1.04
ilulissat,69.2167,257.16,78,100,2.06
dingle,10.9995,302.67,62,79,6.03
severo-kurilsk,50.6789,272.17,90,100,7
bengkulu,-3.8004,300.05,70,100,0.19
riyadh,24.6877,285.23,34,17,5.16
puerto ayora,-0.7393,297.2,89,98,2.8
segezha,63.7415,273.67,98,100,6.68
busselton,-33.65,305.4,35,5,2.59
matara,5.9485,299.7,73,29,2.55
qeshm,26.9581,288.08,58,0,0.86
hithadhoo,-0.6,301.4,66,96,6.76
ushuaia,-54.8,283.96,66,40,7.2
port lincoln,-34.7333,293.28,60,56,6.82
catuday,16.2923,300.58,67,75,3.09
maniitsoq,65.4167,251.75,85,99,3.08
narsaq,60.9167,258.27,71,100,4.49
poum,-20.2333,301.14,76,30,6.82
mataura,-46.1927,295.64,32,100,3.08
abadan,30.3392,288.35,29,92,2.65
port hedland,-20.3167,312.18,29,14,2.57
belushya guba,,,,,
tipuani,-15.5648,294.8,98,100,0.79
kushima,31.4583,282.22,57,100,6.13
aleysk,52.4926,263.66,74,100,8.97
rikitea,-23.1203,298.88,71,7,3.44
la rioja,42.25,273.03,55,0,2.99
saint-philippe,-21.3585,298.92,81,93,6.01
talnakh,69.4865,253.82,91,99,5.01
tuktoyaktuk,69.4541,251.12,97,100,5.98
banfora,10.6333,298.37,15,4,2.91
vorukh,39.8494,271.1,43,21,3.9
torbay,47.6666,281.8,83,100,6.71
bandarbeyla,9.4942,295.24,72,2,6.5
hobart,-42.8794,293.72,45,20,10.8
sao joao da barra,-21.6403,297.26,91,100,4.32
bluff,-46.6,295.82,49,100,5.55
meadow lake,34.8014,275.99,48,2,0.13
kapaa,22.0752,301.14,71,0,6.69
talcahuano,-36.7167,287.97,63,0,7.2
saleaula,,,,,
wewak,-3.5534,302.93,66,100,1.6
carnarvon,-24.8667,306.75,46,100,2
victoria,22.2855,292.02,86,100,9.39
dikson,73.5069,246.11,93,60,3.69
salalah,17.0151,293.2,68,0,1.03
qasigiannguit,68.8193,257.29,94,100,2.49
cabo san lucas,22.8909,292.32,82,75,0
nikolskoye,59.7035,274.75,93,100,6.52
castro,-24.7911,287.22,98,12,3.33
thinadhoo,0.5333,300.92,67,100,5.17
nuuk,64.1835,258.49,56,20,6.17
goderich,43.7501,269.21,93,100,10.62
hilo,19.7297,297,91,75,5.14
pangody,65.85,259.41,99,98,3.46
mrirt,,,,,
tiksi,71.6872,240.5,99,84,1.44
